"H (A_per_meter)" 	"B (tesla)"
0 	0
0.80000000000000004 	0.080001000000000003
1.2 	0.120002
1.6000000000000001 	0.150002
2 	0.190002
2.3999999999999999 	0.23000300000000001
2.7999999999999998 	0.28000399999999998
3.2000000000000002 	0.30000399999999999
3.6000000000000001 	0.32500400000000002
4 	0.35000500000000001
4.4000000000000004 	0.37000499999999997
4.7999999999999998 	0.39000600000000002
5.2000000000000002 	0.40000599999999997
5.5999999999999996 	0.41000700000000001
6.4000000000000004 	0.430008
7.2000000000000002 	0.44000899999999998
8 	0.46000999999999997
11.9 	0.50001499999999999
15.9 	0.52502000000000004
19.899999999999999 	0.54002499999999998
23.899999999999999 	0.54503000000000001
27.899999999999999 	0.55503499999999995
31.800000000000001 	0.56003999999999998
35.799999999999997 	0.56504500000000002
39.799999999999997 	0.57004999999999995
43.799999999999997 	0.57505499999999998
47.700000000000003 	0.58006000000000002
51.700000000000003 	0.58506499999999995
55.700000000000003 	0.59006999999999998
63.700000000000003 	0.59338000000000002
71.599999999999994 	0.59669000000000005
79.599999999999994 	0.60009999999999997
119.40000000000001 	0.62014999999999998
159.19999999999999 	0.62519999999999998
198.90000000000001 	0.63024999999999998
238.69999999999999 	0.63529999999999998
278.5 	0.64034999999999997
318.30000000000001 	0.64539999999999997
358.10000000000002 	0.64705000000000001
397.89999999999998 	0.64880000000000004
437.69999999999999 	0.65054999999999996
477.5 	0.6522
517.29999999999995 	0.65385000000000004
557 	0.65549999999999997
636.60000000000002 	0.65720000000000001
716.20000000000005 	0.65890000000000004
795.79999999999995 	0.66100000000000003
1193.7 	0.66400000000000003
1591.5 	0.66700000000000004
1989.4000000000001 	0.67000000000000004
2387.3000000000002 	0.67300000000000004
2785.1999999999998 	0.67349999999999999
3183.0999999999999 	0.67400000000000004
